observation_date,APUS37B72610
2023-12-01,0.178
2024-01-01,0.178
2024-02-01,0.178
2024-03-01,0.176
2024-04-01,0.176
2024-05-01,0.185
2024-06-01,0.185
2024-07-01,0.184
2024-08-01,0.175
2024-09-01,0.183
2024-10-01,
2024-11-01,0.175
2024-12-01,0.170
